train_per_domain,setting,metric,n,mean,std,ci95_low,ci95_high,median,min,max,scope,heldout_domain
80,,precision_B,3,0.2551866666666667,0.086242199260764,0.0409491671387162,0.4694241661946171,0.22502,0.18808,0.35246,lodo_domain,United_States
80,,recall_B,3,0.2778066666666666,0.0574792417602505,0.1350203145672137,0.4205930187661195,0.31031,0.21144,0.31167,lodo_domain,United_States
80,,mAP50_B,3,0.1811233333333333,0.0421106878753284,0.0765145855144825,0.285732081152184,0.16061,0.1532,0.22956,lodo_domain,United_States
80,,mAP50_95_B,3,0.0683433333333333,0.0104434157885882,0.0424004503334125,0.0942862163332541,0.06365,0.06107,0.08031,lodo_domain,United_States
160,,precision_B,3,0.55635,0.4268021406928508,-0.5038852931508807,1.6165852931508806,0.54611,0.13476,0.98818,lodo_domain,China_Drone
160,,recall_B,3,0.1745133333333333,0.0718202285803472,-0.0038980049496362,0.3529246716163029,0.16651,0.10703,0.25,lodo_domain,China_Drone
160,,mAP50_B,3,0.1754066666666666,0.1058204561194731,-0.0874659190543375,0.4382792523876708,0.12258,0.1064,0.29724,lodo_domain,China_Drone
160,,mAP50_95_B,3,0.0905766666666666,0.0771123831387237,-0.1009811123311773,0.2821344456645107,0.05088,0.0414,0.17945,lodo_domain,China_Drone
160,,precision_B,3,0.13266,0.0253756793012522,0.0696233180864771,0.1956966819135228,0.121,0.11521,0.16177,lodo_domain,China_MotorBike
160,,recall_B,3,0.1970066666666666,0.0361283051544538,0.1072589813708641,0.2867543519624692,0.20148,0.15885,0.23069,lodo_domain,China_MotorBike
160,,mAP50_B,3,0.1147366666666666,0.0294055986732685,0.0416891100658047,0.1877842232675285,0.11452,0.08544,0.14425,lodo_domain,China_MotorBike
160,,mAP50_95_B,3,0.0370166666666666,0.0158063320645029,-0.0022484388992135,0.0762817722325468,0.03311,0.02353,0.05441,lodo_domain,China_MotorBike
160,,precision_B,3,0.2406966666666666,0.0174162290216146,0.197432355357593,0.2839609779757402,0.24876,0.22071,0.25262,lodo_domain,Czech_Republic
160,,recall_B,3,0.22002,0.0230739485134209,0.1627011343388255,0.2773388656611744,0.22457,0.19501,0.24048,lodo_domain,Czech_Republic
160,,mAP50_B,3,0.1474,0.0071294529944449,0.129689456952348,0.165110543047652,0.14921,0.13954,0.15345,lodo_domain,Czech_Republic
160,,mAP50_95_B,3,0.04841,0.0031618823507524,0.0405554488123779,0.056264551187622,0.05016,0.04476,0.05031,lodo_domain,Czech_Republic
160,,precision_B,3,0.30029,0.0985551099639181,0.0554655346529301,0.5451144653470699,0.29866,0.20256,0.39965,lodo_domain,India
160,,recall_B,3,0.0841399999999999,0.0095068186056114,0.0605237533830309,0.107756246616969,0.0872,0.07348,0.09174,lodo_domain,India
160,,mAP50_B,3,0.0601633333333333,0.00920257753748,0.0373028634271725,0.0830238032394941,0.05927,0.05144,0.06978,lodo_domain,India
160,,mAP50_95_B,3,0.0247566666666666,0.0022728029684364,0.0191107111013956,0.0304026222319376,0.02428,0.02276,0.02723,lodo_domain,India
160,,precision_B,3,0.20737,0.0494504004028278,0.0845283954981816,0.3302116045018184,0.20901,0.15712,0.25598,lodo_domain,Japan
160,,recall_B,3,0.2308333333333333,0.0334257839598913,0.1477990828537478,0.3138675838129188,0.23473,0.19563,0.26214,lodo_domain,Japan
160,,mAP50_B,3,0.1542099999999999,0.0138283223855968,0.1198585428716974,0.1885614571283025,0.14796,0.14461,0.17006,lodo_domain,Japan
160,,mAP50_95_B,3,0.05888,0.0039486579998779,0.0490709897516986,0.0686890102483014,0.0609,0.05433,0.06141,lodo_domain,Japan
160,,precision_B,3,0.1534666666666666,0.052385895366342,0.0233328884233295,0.2836004449100038,0.17577,0.09362,0.19101,lodo_domain,Norway
160,,recall_B,3,0.0819833333333333,0.0115486550443475,0.0532948838176739,0.1106717828489926,0.08389,0.0696,0.09246,lodo_domain,Norway
160,,mAP50_B,3,0.0511033333333333,0.0177889469427881,0.0069131393804274,0.0952935272862392,0.06014,0.03061,0.06256,lodo_domain,Norway
160,,mAP50_95_B,3,0.0185866666666666,0.006912165603726,0.0014158954205873,0.035757437912746,0.02153,0.01069,0.02354,lodo_domain,Norway
160,,precision_B,3,0.21939,0.0303079708987586,0.1441008265237621,0.2946791734762379,0.22625,0.18624,0.24568,lodo_domain,United_States
160,,recall_B,3,0.3508633333333333,0.0573161664221651,0.2084820828310748,0.4932445838355918,0.34029,0.29957,0.41273,lodo_domain,United_States
160,,mAP50_B,3,0.2026666666666666,0.0208160619074149,0.1509567022723276,0.2543766310610057,0.19315,0.18831,0.22654,lodo_domain,United_States
